Product,Category,Region,Sales,Quantity,Profit,Date
Laptop Pro 15,Electronics,North,125000,45,18000,2024-01-05
Wireless Mouse,Electronics,South,8500,120,2200,2024-01-07
Office Chair,Furniture,East,32000,60,6400,2024-01-10
Standing Desk,Furniture,West,45000,35,9000,2024-01-12
Bluetooth Speaker,Electronics,North,15600,80,3900,2024-01-15
Notebook Set,Stationery,South,4200,300,1050,2024-01-18
Gel Pen Pack,Stationery,East,2100,500,630,2024-01-20
Gaming Monitor,Electronics,West,98000,40,17000,2024-01-22
Bookshelf,Furniture,North,27500,25,5000,2024-01-25
Desk Lamp,Furniture,South,9800,70,2450,2024-01-28
Mechanical Keyboard,Electronics,East,21000,55,5200,2024-02-02
Sticky Notes,Stationery,West,1500,400,450,2024-02-04
Office Sofa,Furniture,North,68000,15,12000,2024-02-06
Webcam HD,Electronics,South,17500,65,4100,2024-02-09
Filing Cabinet,Furniture,East,31000,30,5800,2024-02-11
External SSD 1TB,Electronics,West,54000,90,11500,2024-02-14
Whiteboard,Stationery,North,6200,45,1500,2024-02-17
Printer Ink Set,Stationery,South,3900,150,900,2024-02-19
Ergonomic Chair,Furniture,East,52000,28,9800,2024-02-22
Tablet 10-inch,Electronics,West,87000,50,15500,2024-02-25
Desk Organizer,Stationery,North,2800,220,700,2024-03-01
Conference Table,Furniture,South,95000,10,17000,2024-03-04
Noise Cancelling Headphones,Electronics,East,61000,75,13000,2024-03-07
Marker Set,Stationery,West,1900,280,570,2024-03-10
Cabinet Shelf,Furniture,North,24500,32,4600,2024-03-13
Smartwatch,Electronics,South,73000,60,14500,2024-03-16
Paper Ream,Stationery,East,3300,350,800,2024-03-19
Recliner Chair,Furniture,West,58000,20,10200,2024-03-22
Router Wifi 6,Electronics,North,42000,85,9100,2024-03-25
Highlighter Pack,Stationery,South,1700,260,510,2024-03-28
